"縣市","統計期","業者名稱","類別","基地臺"
"澎湖縣","1130229","台灣大哥大股份有限公司                                                          ","4G","216"
"澎湖縣","1130229","遠傳電信股份有限公司                                                            ","4G","198"
"宜蘭縣","1130131","中華電信股份有限公司                                                            ","4G","1019"
"宜蘭縣","1130131","台灣大哥大股份有限公司                                                          ","4G","895"
"宜蘭縣","1130131","遠傳電信股份有限公司                                                            ","4G","779"
"花蓮縣","1130131","中華電信股份有限公司                                                            ","4G","986"
"花蓮縣","1130131","台灣大哥大股份有限公司                                                          ","4G","964"
"花蓮縣","1130131","遠傳電信股份有限公司                                                            ","4G","842"
"金門縣","1130131","中華電信股份有限公司                                                            ","4G","371"
"金門縣","1130131","台灣大哥大股份有限公司                                                          ","4G","157"
"金門縣","1130131","遠傳電信股份有限公司                                                            ","4G","152"
"南投縣","1130131","中華電信股份有限公司                                                            ","4G","1273"
"南投縣","1130131","台灣大哥大股份有限公司                                                          ","4G","1156"
"南投縣","1130131","遠傳電信股份有限公司                                                            ","4G","1133"
"屏東縣","1130131","中華電信股份有限公司                                                            ","4G","1233"
"屏東縣","1130131","台灣大哥大股份有限公司                                                          ","4G","1364"
"屏東縣","1130131","遠傳電信股份有限公司                                                            ","4G","1582"
"苗栗縣","1130131","中華電信股份有限公司                                                            ","4G","1393"
"苗栗縣","1130131","台灣大哥大股份有限公司                                                          ","4G","1145"
"苗栗縣","1130131","遠傳電信股份有限公司                                                            ","4G","1248"
"桃園市","1130131","中華電信股份有限公司                                                            ","4G","2202"
"桃園市","1130131","台灣大哥大股份有限公司                                                          ","4G","2862"
"桃園市","1130131","遠傳電信股份有限公司                                                            ","4G","2621"
"高雄市","1130131","中華電信股份有限公司                                                            ","4G","3606"
"高雄市","1130131","台灣大哥大股份有限公司                                                          ","4G","3521"
"高雄市","1130131","遠傳電信股份有限公司                                                            ","4G","3542"
"基隆市","1130131","中華電信股份有限公司                                                            ","4G","409"
"基隆市","1130131","台灣大哥大股份有限公司                                                          ","4G","414"
"基隆市","1130131","遠傳電信股份有限公司                                                            ","4G","552"
"連江縣","1130131","中華電信股份有限公司                                                            ","4G","121"
"連江縣","1130131","台灣大哥大股份有限公司                                                          ","4G","48"
"連江縣","1130131","遠傳電信股份有限公司                                                            ","4G","51"
"雲林縣","1130131","中華電信股份有限公司                                                            ","4G","1333"
"雲林縣","1130131","台灣大哥大股份有限公司                                                          ","4G","1001"
"雲林縣","1130131","遠傳電信股份有限公司                                                            ","4G","908"
"新北市","1130131","中華電信股份有限公司                                                            ","4G","3265"
"新北市","1130131","台灣大哥大股份有限公司                                                          ","4G","4036"
"新北市","1130131","遠傳電信股份有限公司                                                            ","4G","3661"
"新竹市","1130131","中華電信股份有限公司                                                            ","4G","649"
"新竹市","1130131","台灣大哥大股份有限公司                                                          ","4G","425"
"新竹市","1130131","遠傳電信股份有限公司                                                            ","4G","690"
"新竹縣","1130131","中華電信股份有限公司                                                            ","4G","1147"
"新竹縣","1130131","台灣大哥大股份有限公司                                                          ","4G","736"
"新竹縣","1130131","遠傳電信股份有限公司                                                            ","4G","958"
"嘉義市","1130131","中華電信股份有限公司                                                            ","4G","354"
"嘉義市","1130131","台灣大哥大股份有限公司                                                          ","4G","353"
"嘉義市","1130131","遠傳電信股份有限公司                                                            ","4G","331"
"嘉義縣","1130131","中華電信股份有限公司                                                            ","4G","1066"
"嘉義縣","1130131","台灣大哥大股份有限公司                                                          ","4G","861"
"嘉義縣","1130131","遠傳電信股份有限公司                                                            ","4G","847"
"彰化縣","1130131","中華電信股份有限公司                                                            ","4G","1877"
"彰化縣","1130131","台灣大哥大股份有限公司                                                          ","4G","1607"
"彰化縣","1130131","遠傳電信股份有限公司                                                            ","4G","1494"
"臺中市","1130131","中華電信股份有限公司                                                            ","4G","4783"
"臺中市","1130131","台灣大哥大股份有限公司                                                          ","4G","4812"
"臺中市","1130131","遠傳電信股份有限公司                                                            ","4G","4538"
"臺北市","1130131","中華電信股份有限公司                                                            ","4G","3156"
"臺北市","1130131","台灣大哥大股份有限公司                                                          ","4G","3625"
"臺北市","1130131","遠傳電信股份有限公司                                                            ","4G","3904"
"臺東縣","1130131","中華電信股份有限公司                                                            ","4G","672"
"臺東縣","1130131","台灣大哥大股份有限公司                                                          ","4G","625"
"臺東縣","1130131","遠傳電信股份有限公司                                                            ","4G","572"
"臺南市","1130131","中華電信股份有限公司                                                            ","4G","2392"
"臺南市","1130131","台灣大哥大股份有限公司                                                          ","4G","2621"
"臺南市","1130131","遠傳電信股份有限公司                                                            ","4G","2384"
"澎湖縣","1130131","中華電信股份有限公司                                                            ","4G","208"
"澎湖縣","1130131","台灣大哥大股份有限公司                                                          ","4G","215"
"澎湖縣","1130131","遠傳電信股份有限公司                                                            ","4G","198"
"宜蘭縣","1121231","中華電信股份有限公司                                                            ","4G","1021"
"宜蘭縣","1121231","台灣大哥大股份有限公司                                                          ","4G","636"
"宜蘭縣","1121231","台灣之星電信股份有限公司                                                        ","4G","424"
"宜蘭縣","1121231","亞太電信股份有限公司                                                            ","4G","203"
"宜蘭縣","1121231","遠傳電信股份有限公司                                                            ","4G","629"
"花蓮縣","1121231","中華電信股份有限公司                                                            ","4G","989"
"花蓮縣","1121231","台灣大哥大股份有限公司                                                          ","4G","695"
"花蓮縣","1121231","台灣之星電信股份有限公司                                                        ","4G","434"
"花蓮縣","1121231","亞太電信股份有限公司                                                            ","4G","192"
"花蓮縣","1121231","遠傳電信股份有限公司                                                            ","4G","726"
"金門縣","1121231","中華電信股份有限公司                                                            ","4G","368"
"金門縣","1121231","台灣大哥大股份有限公司                                                          ","4G","125"
"金門縣","1121231","台灣之星電信股份有限公司                                                        ","4G","47"
"金門縣","1121231","亞太電信股份有限公司                                                            ","4G","32"
"金門縣","1121231","遠傳電信股份有限公司                                                            ","4G","139"
"南投縣","1121231","中華電信股份有限公司                                                            ","4G","1277"
"南投縣","1121231","台灣大哥大股份有限公司                                                          ","4G","835"
"南投縣","1121231","台灣之星電信股份有限公司                                                        ","4G","527"
"南投縣","1121231","亞太電信股份有限公司                                                            ","4G","281"
"南投縣","1121231","遠傳電信股份有限公司                                                            ","4G","898"
"屏東縣","1121231","中華電信股份有限公司                                                            ","4G","1231"
"屏東縣","1121231","台灣大哥大股份有限公司                                                          ","4G","972"
"屏東縣","1121231","台灣之星電信股份有限公司                                                        ","4G","703"
"屏東縣","1121231","亞太電信股份有限公司                                                            ","4G","512"
"屏東縣","1121231","遠傳電信股份有限公司                                                            ","4G","1119"
"苗栗縣","1121231","中華電信股份有限公司                                                            ","4G","1393"
"苗栗縣","1121231","台灣大哥大股份有限公司                                                          ","4G","865"
"苗栗縣","1121231","台灣之星電信股份有限公司                                                        ","4G","500"
"苗栗縣","1121231","亞太電信股份有限公司                                                            ","4G","317"
"苗栗縣","1121231","遠傳電信股份有限公司                                                            ","4G","988"
"桃園市","1121231","中華電信股份有限公司                                                            ","4G","2199"
"桃園市","1121231","台灣大哥大股份有限公司                                                          ","4G","1977"
"桃園市","1121231","台灣之星電信股份有限公司                                                        ","4G","1538"
"桃園市","1121231","亞太電信股份有限公司                                                            ","4G","1004"
"桃園市","1121231","遠傳電信股份有限公司                                                            ","4G","2031"
"高雄市","1121231","中華電信股份有限公司                                                            ","4G","3585"
"高雄市","1121231","台灣大哥大股份有限公司                                                          ","4G","2428"
"高雄市","1121231","台灣之星電信股份有限公司                                                        ","4G","1965"
"高雄市","1121231","亞太電信股份有限公司                                                            ","4G","1314"
"高雄市","1121231","遠傳電信股份有限公司                                                            ","4G","2442"
"基隆市","1121231","中華電信股份有限公司                                                            ","4G","409"
"基隆市","1121231","台灣大哥大股份有限公司                                                          ","4G","293"
"基隆市","1121231","台灣之星電信股份有限公司                                                        ","4G","224"
"基隆市","1121231","亞太電信股份有限公司                                                            ","4G","221"
"基隆市","1121231","遠傳電信股份有限公司                                                            ","4G","362"
"連江縣","1121231","中華電信股份有限公司                                                            ","4G","121"
"連江縣","1121231","台灣大哥大股份有限公司                                                          ","4G","34"
"連江縣","1121231","台灣之星電信股份有限公司                                                        ","4G","20"
"連江縣","1121231","亞太電信股份有限公司                                                            ","4G","12"
"連江縣","1121231","遠傳電信股份有限公司                                                            ","4G","44"
"雲林縣","1121231","中華電信股份有限公司                                                            ","4G","1335"
"雲林縣","1121231","台灣大哥大股份有限公司                                                          ","4G","743"
"雲林縣","1121231","台灣之星電信股份有限公司                                                        ","4G","459"
"雲林縣","1121231","亞太電信股份有限公司                                                            ","4G","250"
"雲林縣","1121231","遠傳電信股份有限公司                                                            ","4G","760"
"新北市","1121231","中華電信股份有限公司                                                            ","4G","3263"
"新北市","1121231","台灣大哥大股份有限公司                                                          ","4G","2700"
"新北市","1121231","台灣之星電信股份有限公司                                                        ","4G","2329"
"新北市","1121231","亞太電信股份有限公司                                                            ","4G","1528"
"新北市","1121231","遠傳電信股份有限公司                                                            ","4G","2721"
"新竹市","1121231","中華電信股份有限公司                                                            ","4G","649"
"新竹市","1121231","台灣大哥大股份有限公司                                                          ","4G","405"
"新竹市","1121231","台灣之星電信股份有限公司                                                        ","4G","363"
"新竹市","1121231","亞太電信股份有限公司                                                            ","4G","202"
"新竹市","1121231","遠傳電信股份有限公司                                                            ","4G","563"
"新竹縣","1121231","中華電信股份有限公司                                                            ","4G","1147"
"新竹縣","1121231","台灣大哥大股份有限公司                                                          ","4G","714"
"新竹縣","1121231","台灣之星電信股份有限公司                                                        ","4G","522"
"新竹縣","1121231","亞太電信股份有限公司                                                            ","4G","300"
"新竹縣","1121231","遠傳電信股份有限公司                                                            ","4G","739"
"嘉義市","1121231","中華電信股份有限公司                                                            ","4G","353"
"嘉義市","1121231","台灣大哥大股份有限公司                                                          ","4G","251"
"嘉義市","1121231","台灣之星電信股份有限公司                                                        ","4G","174"
"嘉義市","1121231","亞太電信股份有限公司                                                            ","4G","133"
